model,version,table,field,type,length,precision,scale,default
pedsnet,1.0.0,drug_strength,amount_unit,string,60,,,
pedsnet,1.0.0,drug_strength,amount_value,number,,20,5,
pedsnet,1.0.0,drug_strength,concentration_denom_unit,string,60,,,
pedsnet,1.0.0,drug_strength,concentration_enum_unit,string,60,,,
pedsnet,1.0.0,drug_strength,concentration_value,number,,20,5,
pedsnet,1.0.0,drug_strength,drug_concept_id,integer,,,,
pedsnet,1.0.0,drug_strength,ingredient_concept_id,integer,,,,
pedsnet,1.0.0,drug_strength,invalid_reason,string,1,,,
pedsnet,1.0.0,drug_strength,valid_end_date,date,,,,
pedsnet,1.0.0,drug_strength,valid_start_date,date,,,,
