model,version,table,field,type,length,precision,scale,default
pedsnet,1.0.0,person,care_site_id,integer,,,,
pedsnet,1.0.0,person,day_of_birth,number,,2,0,
pedsnet,1.0.0,person,ethnicity_concept_id,integer,,,,
pedsnet,1.0.0,person,ethnicity_source_value,string,50,,,
pedsnet,1.0.0,person,gender_concept_id,integer,,,,
pedsnet,1.0.0,person,gender_source_value,string,50,,,
pedsnet,1.0.0,person,location_id,integer,,,,
pedsnet,1.0.0,person,month_of_birth,number,,2,0,
pedsnet,1.0.0,person,person_id,integer,,,,
pedsnet,1.0.0,person,person_source_value,string,100,,,
pedsnet,1.0.0,person,pn_gestational_age,number,,4,2,
pedsnet,1.0.0,person,pn_time_of_birth,datetime,,,,
pedsnet,1.0.0,person,provider_id,integer,,,,
pedsnet,1.0.0,person,race_concept_id,integer,,,,
pedsnet,1.0.0,person,race_source_value,string,50,,,
pedsnet,1.0.0,person,year_of_birth,number,,4,0,
