model,version,table,field,type,length,precision,scale,default
pedsnet,2.1.0,measurement,measurement_concept_id,integer,,,,
pedsnet,2.1.0,measurement,measurement_date,date,,,,
pedsnet,2.1.0,measurement,measurement_id,integer,,,,
pedsnet,2.1.0,measurement,measurement_order_date,date,,,,
pedsnet,2.1.0,measurement,measurement_order_time,datetime,,,,
pedsnet,2.1.0,measurement,measurement_result_date,date,,,,
pedsnet,2.1.0,measurement,measurement_result_time,datetime,,,,
pedsnet,2.1.0,measurement,measurement_source_concept_id,integer,,,,
pedsnet,2.1.0,measurement,measurement_source_value,string,256,,,
pedsnet,2.1.0,measurement,measurement_time,datetime,,,,
pedsnet,2.1.0,measurement,measurement_type_concept_id,integer,,,,
pedsnet,2.1.0,measurement,operator_concept_id,integer,,,,
pedsnet,2.1.0,measurement,person_id,integer,,,,
pedsnet,2.1.0,measurement,provider_id,integer,,,,
pedsnet,2.1.0,measurement,range_high,number,,20,5,
pedsnet,2.1.0,measurement,range_high_operator_concept_id,integer,,,,
pedsnet,2.1.0,measurement,range_high_source_value,string,256,,,
pedsnet,2.1.0,measurement,range_low,number,,20,5,
pedsnet,2.1.0,measurement,range_low_operator_concept_id,integer,,,,
pedsnet,2.1.0,measurement,range_low_source_value,string,256,,,
pedsnet,2.1.0,measurement,specimen_source_value,string,256,,,
pedsnet,2.1.0,measurement,unit_concept_id,integer,,,,
pedsnet,2.1.0,measurement,unit_source_value,string,256,,,
pedsnet,2.1.0,measurement,value_as_concept_id,integer,,,,
pedsnet,2.1.0,measurement,value_as_number,number,,20,5,
pedsnet,2.1.0,measurement,value_source_value,string,256,,,
pedsnet,2.1.0,measurement,visit_occurrence_id,integer,,,,
