model,version,table,field,type,length,precision,scale,default
pedsnet,2.2.0,concept,concept_class_id,string,20,,,
pedsnet,2.2.0,concept,concept_code,string,256,,,
pedsnet,2.2.0,concept,concept_id,integer,,,,
pedsnet,2.2.0,concept,concept_level,integer,,,,
pedsnet,2.2.0,concept,concept_name,string,512,,,
pedsnet,2.2.0,concept,domain_id,string,20,,,
pedsnet,2.2.0,concept,invalid_reason,string,1,,,
pedsnet,2.2.0,concept,standard_concept,string,1,,,
pedsnet,2.2.0,concept,valid_end_date,date,,,,
pedsnet,2.2.0,concept,valid_start_date,date,,,,
pedsnet,2.2.0,concept,vocabulary_id,string,20,,,
