model,version,table,field,type,length,precision,scale,default
pedsnet,2.2.0,condition_occurrence,condition_concept_id,integer,,,,
pedsnet,2.2.0,condition_occurrence,condition_end_date,datetime,,,,
pedsnet,2.2.0,condition_occurrence,condition_end_time,datetime,,,,
pedsnet,2.2.0,condition_occurrence,condition_occurrence_id,integer,,,,
pedsnet,2.2.0,condition_occurrence,condition_source_concept_id,integer,,,,
pedsnet,2.2.0,condition_occurrence,condition_source_value,string,256,,,
pedsnet,2.2.0,condition_occurrence,condition_start_date,datetime,,,,
pedsnet,2.2.0,condition_occurrence,condition_start_time,datetime,,,,
pedsnet,2.2.0,condition_occurrence,condition_type_concept_id,integer,,,,
pedsnet,2.2.0,condition_occurrence,person_id,integer,,,,
pedsnet,2.2.0,condition_occurrence,provider_id,integer,,,,
pedsnet,2.2.0,condition_occurrence,stop_reason,string,256,,,
pedsnet,2.2.0,condition_occurrence,visit_occurrence_id,integer,,,,
