model,version,table,field,type,length,precision,scale,default
pedsnet,2.2.0,procedure_occurrence,modifier_concept_id,integer,,,,
pedsnet,2.2.0,procedure_occurrence,modifier_source_value,string,256,,,
pedsnet,2.2.0,procedure_occurrence,person_id,integer,,,,
pedsnet,2.2.0,procedure_occurrence,procedure_concept_id,integer,,,,
pedsnet,2.2.0,procedure_occurrence,procedure_date,date,,,,
pedsnet,2.2.0,procedure_occurrence,procedure_occurrence_id,integer,,,,
pedsnet,2.2.0,procedure_occurrence,procedure_source_concept_id,integer,,,,
pedsnet,2.2.0,procedure_occurrence,procedure_source_value,string,256,,,
pedsnet,2.2.0,procedure_occurrence,procedure_time,datetime,,,,
pedsnet,2.2.0,procedure_occurrence,procedure_type_concept_id,integer,,,,
pedsnet,2.2.0,procedure_occurrence,provider_id,integer,,,,
pedsnet,2.2.0,procedure_occurrence,qualifier_source_value,string,50,,,
pedsnet,2.2.0,procedure_occurrence,quantity,integer,,,,
pedsnet,2.2.0,procedure_occurrence,visit_occurrence_id,integer,,,,
