model,version,table,field,type,length,precision,scale,default
pedsnet,v1,condition_occurrence,associated_provider_id,integer,,,,
pedsnet,v1,condition_occurrence,condition_concept_id,integer,,,,
pedsnet,v1,condition_occurrence,condition_end_date,datetime,,,,
pedsnet,v1,condition_occurrence,condition_occurrence_id,integer,,,,
pedsnet,v1,condition_occurrence,condition_source_value,string,100,,,
pedsnet,v1,condition_occurrence,condition_start_date,datetime,,,,
pedsnet,v1,condition_occurrence,condition_type_concept_id,integer,,,,
pedsnet,v1,condition_occurrence,person_id,integer,,,,
pedsnet,v1,condition_occurrence,stop_reason,string,100,,,
pedsnet,v1,condition_occurrence,visit_occurrence_id,integer,,,,
