model,version,type,name,table,field
pedsnet,v1,not null,,care_site,care_site_source_value
pedsnet,v1,not null,,care_site,organization_id
pedsnet,v1,not null,,concept,concept_class
pedsnet,v1,not null,,concept,concept_code
pedsnet,v1,not null,,concept,concept_level
pedsnet,v1,not null,,concept,concept_name
pedsnet,v1,not null,,concept,domain_id
pedsnet,v1,not null,,concept,valid_end_date
pedsnet,v1,not null,,concept,valid_start_date
pedsnet,v1,not null,,concept,vocabulary_id
pedsnet,v1,not null,,concept_ancestor,ancestor_concept_id
pedsnet,v1,not null,,concept_ancestor,descendant_concept_id
pedsnet,v1,not null,,concept_relationship,concept_id_1
pedsnet,v1,not null,,concept_relationship,concept_id_2
pedsnet,v1,not null,,concept_relationship,relationship_id
pedsnet,v1,not null,,concept_relationship,valid_end_date
pedsnet,v1,not null,,concept_relationship,valid_start_date
pedsnet,v1,not null,,concept_synonym,concept_id
pedsnet,v1,not null,,concept_synonym,concept_synonym_name
pedsnet,v1,not null,,condition_occurrence,condition_concept_id
pedsnet,v1,not null,,condition_occurrence,condition_start_date
pedsnet,v1,not null,,condition_occurrence,condition_type_concept_id
pedsnet,v1,not null,,condition_occurrence,person_id
pedsnet,v1,not null,,death,death_date
pedsnet,v1,not null,,drug_approval,ingredient_concept_id
pedsnet,v1,not null,,drug_approval,approval_date
pedsnet,v1,not null,,drug_approval,approved_by
pedsnet,v1,not null,,drug_strength,drug_concept_id
pedsnet,v1,not null,,drug_strength,ingredient_concept_id
pedsnet,v1,not null,,drug_strength,valid_start_date
pedsnet,v1,not null,,drug_strength,valid_end_date
pedsnet,v1,not null,,observation,observation_concept_id
pedsnet,v1,not null,,observation,observation_date
pedsnet,v1,not null,,observation,observation_type_concept_id
pedsnet,v1,not null,,observation,person_id
pedsnet,v1,not null,,observation_period,observation_period_start_date
pedsnet,v1,not null,,observation_period,person_id
pedsnet,v1,not null,,organization,organization_source_value
pedsnet,v1,not null,,person,gender_concept_id
pedsnet,v1,not null,,person,year_of_birth
pedsnet,v1,not null,,person,person_source_value
pedsnet,v1,not null,,procedure_occurrence,person_id
pedsnet,v1,not null,,procedure_occurrence,procedure_concept_id
pedsnet,v1,not null,,procedure_occurrence,procedure_date
pedsnet,v1,not null,,procedure_occurrence,procedure_type_concept_id
pedsnet,v1,not null,,provider,care_site_id
pedsnet,v1,not null,,provider,provider_source_value
pedsnet,v1,not null,,relationship,defines_ancestry
pedsnet,v1,not null,,relationship,is_hierarchical
pedsnet,v1,not null,,relationship,relationship_name
pedsnet,v1,not null,,source_to_concept_map,source_code
pedsnet,v1,not null,,source_to_concept_map,source_code
pedsnet,v1,not null,,source_to_concept_map,source_vocabulary_id
pedsnet,v1,not null,,source_to_concept_map,target_concept_id
pedsnet,v1,not null,,source_to_concept_map,target_vocabulary_id
pedsnet,v1,not null,,source_to_concept_map,valid_end_date
pedsnet,v1,not null,,source_to_concept_map,valid_start_date
pedsnet,v1,not null,,visit_occurrence,person_id
pedsnet,v1,not null,,visit_occurrence,visit_start_date
pedsnet,v1,not null,,visit_occurrence,place_of_service_concept_id
pedsnet,v1,not null,,vocabulary,vocabulary_name
