model,version,table,field,type,length,precision,scale,default
pedsnet,v1,observation,associated_provider_id,integer,,,,
pedsnet,v1,observation,observation_concept_id,integer,,,,
pedsnet,v1,observation,observation_date,datetime,,,,
pedsnet,v1,observation,observation_id,integer,,,,
pedsnet,v1,observation,observation_source_value,string,100,,,
pedsnet,v1,observation,observation_time,datetime,,,,
pedsnet,v1,observation,observation_type_concept_id,integer,,,,
pedsnet,v1,observation,person_id,integer,,,,
pedsnet,v1,observation,range_high,float,,,,
pedsnet,v1,observation,range_low,float,,,,
pedsnet,v1,observation,relevant_condition_concept_id,integer,,,,
pedsnet,v1,observation,unit_concept_id,integer,,,,
pedsnet,v1,observation,unit_source_value,string,100,,,
pedsnet,v1,observation,value_as_concept_id,integer,,,,
pedsnet,v1,observation,value_as_number,float,,,,
pedsnet,v1,observation,value_as_string,string,4000,,,
pedsnet,v1,observation,visit_occurrence_id,integer,,,,
