model,version,table,field,type,length,precision,scale,default
pedsnet,v1,person,care_site_id,integer,,,,
pedsnet,v1,person,day_of_birth,number,,4,2,
pedsnet,v1,person,ethnicity_concept_id,integer,,,,
pedsnet,v1,person,ethnicity_source_value,string,50,,,
pedsnet,v1,person,gender_concept_id,integer,,,,
pedsnet,v1,person,gender_source_value,string,50,,,
pedsnet,v1,person,location_id,integer,,,,
pedsnet,v1,person,month_of_birth,number,,4,2,
pedsnet,v1,person,person_id,integer,,,,
pedsnet,v1,person,person_source_value,string,100,,,
pedsnet,v1,person,pn_gestational_age,number,,4,2,
pedsnet,v1,person,pn_time_of_birth,datetime,,,,
pedsnet,v1,person,provider_id,integer,,,,
pedsnet,v1,person,race_concept_id,integer,,,,
pedsnet,v1,person,race_source_value,string,50,,,
pedsnet,v1,person,year_of_birth,number,,6,2,
