model,version,table,field,type,length,precision,scale,default
pedsnet,v1,drug_strength,drug_concept_id,integer,,,,
pedsnet,v1,drug_strength,ingredient_concept_id,integer,,,,
pedsnet,v1,drug_strength,amount_value,number,,,,
pedsnet,v1,drug_strength,amount_unit,string,60,,,
pedsnet,v1,drug_strength,concentration_value,number,,,,
pedsnet,v1,drug_strength,concentration_enum_unit,string,60,,,
pedsnet,v1,drug_strength,concentration_denom_unit,string,60,,,
pedsnet,v1,drug_strength,valid_start_date,date,,,,
pedsnet,v1,drug_strength,valid_end_date,date,,,,
pedsnet,v1,drug_strength,invalid_reason,string,1,,,
