model,version,table,field,type,length,precision,scale,default
pedsnet,v1,source_to_concept_map,invalid_reason,string,1,,,
pedsnet,v1,source_to_concept_map,mapping_type,string,20,,,
pedsnet,v1,source_to_concept_map,primary_map,string,1,,,
pedsnet,v1,source_to_concept_map,source_code,string,40,,,
pedsnet,v1,source_to_concept_map,source_code_description,string,256,,,
pedsnet,v1,source_to_concept_map,source_vocabulary_id,integer,,,,
pedsnet,v1,source_to_concept_map,target_concept_id,integer,,,,
pedsnet,v1,source_to_concept_map,target_vocabulary_id,integer,,,,
pedsnet,v1,source_to_concept_map,valid_end_date,date,,,,31-Dec-2099
pedsnet,v1,source_to_concept_map,valid_start_date,date,,,,
