model,version,table,field,type,length,precision,scale,default
pedsnet,v2.1,provider,care_site_id,integer,,,,
pedsnet,v2.1,provider,dea,string,256,,,
pedsnet,v2.1,provider,gender_concept_id,integer,,,,
pedsnet,v2.1,provider,gender_source_concept_id,integer,,,,
pedsnet,v2.1,provider,gender_source_value,string,256,,,
pedsnet,v2.1,provider,npi,string,256,,,
pedsnet,v2.1,provider,provider_id,integer,,,,
pedsnet,v2.1,provider,provider_name,string,256,,,
pedsnet,v2.1,provider,provider_source_value,string,256,,,
pedsnet,v2.1,provider,specialty_concept_id,integer,,,,
pedsnet,v2.1,provider,specialty_source_concept_id,integer,,,,
pedsnet,v2.1,provider,specialty_source_value,string,256,,,
pedsnet,v2.1,provider,year_of_birth,integer,,,,
