model,version,name,unique,table,field,order
pedsnet,v2.7,idx_concept_class_id,No,concept,concept_class_id,asc
pedsnet,v2.7,idx_concept_code,No,concept,concept_code,asc
pedsnet,v2.7,idx_concept_domain_id,No,concept,domain_id,asc
pedsnet,v2.7,idx_concept_vocabluary_id,No,concept,vocabulary_id,asc
pedsnet,v2.7,idx_concept_ancestor_id_1,No,concept_ancestor,ancestor_concept_id,asc
pedsnet,v2.7,idx_concept_ancestor_id_2,No,concept_ancestor,descendant_concept_id,asc
pedsnet,v2.7,idx_concept_synonym_id,No,concept_synonym,concept_id,asc
pedsnet,v2.7,idx_condition_concept_id,No,condition_occurrence,condition_concept_id,asc
pedsnet,v2.7,idx_condition_person_id,No,condition_occurrence,person_id,asc
pedsnet,v2.7,idx_condition_visit_id,No,condition_occurrence,visit_occurrence_id,asc
pedsnet,v2.7,idx_drug_concept_id,No,drug_exposure,drug_concept_id,asc
pedsnet,v2.7,idx_drug_person_id,No,drug_exposure,person_id,asc
pedsnet,v2.7,idx_drug_visit_id,No,drug_exposure,visit_occurrence_id,asc
pedsnet,v2.7,idx_drug_strength_id_1,No,drug_strength,drug_concept_id,asc
pedsnet,v2.7,idx_drug_strength_id_2,No,drug_strength,ingredient_concept_id,asc
pedsnet,v2.7,idx_fact_relationship_id_1,No,fact_relationship,domain_concept_id_1,asc
pedsnet,v2.7,idx_fact_relationship_id_2,No,fact_relationship,domain_concept_id_2,asc
pedsnet,v2.7,idx_fact_relationship_id_3,No,fact_relationship,relationship_concept_id,asc
pedsnet,v2.7,idx_measurement_concept_id,No,measurement,measurement_concept_id,asc
pedsnet,v2.7,idx_measurement_person_id,No,measurement,person_id,asc
pedsnet,v2.7,idx_measurement_visit_id,No,measurement,visit_occurrence_id,asc
pedsnet,v2.7,idx_observation_concept_id,No,observation,observation_concept_id,asc
pedsnet,v2.7,idx_observation_person_id,No,observation,person_id,asc
pedsnet,v2.7,idx_observation_visit_id,No,observation,visit_occurrence_id,asc
pedsnet,v2.7,idx_observation_period_id,No,observation_period,person_id,asc
pedsnet,v2.7,idx_procedure_person_id,No,procedure_occurrence,person_id,asc
pedsnet,v2.7,idx_procedure_concept_id,No,procedure_occurrence,procedure_concept_id,asc
pedsnet,v2.7,idx_procedure_provider_id,No,procedure_occurrence,provider_id,asc
pedsnet,v2.7,idx_procedure_visit_id,No,procedure_occurrence,visit_occurrence_id,asc
pedsnet,v2.7,idx_source_to_concept_id_1,No,source_to_concept_map,source_vocabulary_id,asc
pedsnet,v2.7,idx_source_to_concept_id_2,No,source_to_concept_map,target_vocabulary_id,asc
pedsnet,v2.7,idx_source_to_concept_id_3,No,source_to_concept_map,target_concept_id,asc
pedsnet,v2.7,idx_source_to_concept_code,No,source_to_concept_map,source_code,asc
pedsnet,v2.7,idx_visit_person_id,No,visit_occurrence,person_id,asc
pedsnet,v2.7,idx_visit_concept_id,No,visit_occurrence,visit_concept_id,asc
pedsnet,v2.7,idx_visit_payer_visit_id,No,visit_payer,visit_occurrence_id,asc
pedsnet,v2.7,idx_adt_visit_id,No,adt_occurrence,visit_occurrence_id,asc
pedsnet,v2.7,idx_adt_prior_id,No,adt_occurrence,prior_adt_occurrence_id,asc
pedsnet,v2.7,idx_adt_next_id,No,adt_occurrence,next_adt_occurrence_id,asc
pedsnet,v2.7,idx_adt_service_id,No,adt_occurrence,service_concept_id,asc
pedsnet,v2.7,idx_adt_type_id,No,adt_occurrence,adt_type_concept_id,asc
