model,version,type,name,table,field
pedsnet,v2,primary key,xpk_care_site,care_site,care_site_id
pedsnet,v2,primary key,xpk_concept,concept,concept_id
pedsnet,v2,primary key,xpk_condition_occurrence,condition_occurrence,condition_occurrence_id
pedsnet,v2,primary key,xpk_death,death,death_id
pedsnet,v2,primary key,xpk_drug_exposure,drug_exposure,drug_exposure_id
pedsnet,v2,primary key,xpk_location,location,location_id
pedsnet,v2,primary key,xpk_measurement,measurement,measurement_id
pedsnet,v2,primary key,xpk_observation,observation,observation_id
pedsnet,v2,primary key,xpk_observation_period,observation_period,observation_period_id
pedsnet,v2,primary key,xpk_person,person,person_id
pedsnet,v2,primary key,xpk_procedure_occurrence,procedure_occurrence,procedure_occurrence_id
pedsnet,v2,primary key,xpk_provider,provider,provider_id
pedsnet,v2,primary key,xpk_visit_occurrence,visit_occurrence,visit_occurrence_id
pedsnet,v2,primary key,xpk_vocabulary,vocabulary,vocabulary_id
