Table,Field,Required,Ref Table,Ref Field,Type Precision,Description
drug_exposure,days_supply,No,,,integer,The number of days of supply the meidcation as recorded in the original prescription or dispensing record
drug_exposure,dose_unit_concept_id,No,concept,concept_id,integer,A foreign key to a predefined concept in the Standard Vocabularies reflecting the unit the effective drug_dose value is expressed
drug_exposure,dose_unit_source_value,No,,,varchar,The information about the dose unit as detailed in the source
drug_exposure,drug_concept_id,Yes,concept,concept_id,integer,A foreign key that refers to a standard drug concept identifier in the Vocabulary.
drug_exposure,drug_exposure_end_date,No,,,date,The end date for the current instance of drug utilization. It is not available from all sources. 
drug_exposure,drug_exposure_end_time,Yes,,,datetime,The end date and time of the utilization of the drug
drug_exposure,drug_exposure_id,Yes,,,integer,A system-generated unique identifier for each drug utilization event. 
drug_exposure,drug_exposure_start_date,Yes,,,date,"The start date for the current instance of drug utilization. Valid entries include a start date of a prescription, the date a prescription was filled, or the date on which a drug administration procedure was recorded. "
drug_exposure,drug_exposure_start_time,Yes,,,datetime,"The start date and time of the utilization of the drug. The start date of the prescription, the date the prescription was filled, the date a drug was dispensed or the date on which a drug administration procedure was recorded are acceptable."
drug_exposure,drug_source_concept_id,No,concept,concept_id,integer,A foreign key to a drug concept that refers to the code used in the source
drug_exposure,drug_source_value,No,,,varchar,The source drug value as it appears in the source data. The source is mapped to a standard RxNorm concept and the original code is stored here for reference.
drug_exposure,drug_type_concept_id,Yes,concept,concept_id,integer,A foreign key to a standard concept identifier of the type of drug exposure in the Vocabulary as represeneted in the source data
drug_exposure,effective_drug_dose,No,,,float,Numerical value of drug dose for this drug_exposure record
drug_exposure,lot_number,No,,,varchar,An identifier to determine where the product originated
drug_exposure,person_id,Yes,person,person_id,integer,A foreign key identifier to the person who is subjected to the drug. The demographic details of that person are stored in the person table. 
drug_exposure,provider_id,No,provider,provider_id,integer,A foreign key to the provider in the provider table who initiated (prescribed) the drug exposure
drug_exposure,quantity,No,,,float,The quantity of the drugs as recorded in the original prescription or dispensing record
drug_exposure,refills,No,,,integer,The number of refills after the initial prescrition
drug_exposure,route_concept_id,No,concept,concept_id,integer,A foreign key that refers to a standard administration route concept identifier in the Vocabulary.
drug_exposure,route_source_value,No,,,varchar,The information about the route of administration as detailed in the source
drug_exposure,sig,No,,,clob,The directions on the drug prescription as recorded in the original prescription (and printed on the container) or the dispensing record
drug_exposure,stop_reason,No,,,varchar,"The reason, if available, where the medication was stopped, as indicated in the source data."
drug_exposure,visit_occurrence_id,No,visit_occurrence,visit_occurrence_id,integer,A foreign key to the visit in the visit table during which the drug exposure initiated.
