model,version,name,unique,table,field,order
pedsnet,v2,idx_concept_class_id,No,concept,concept_class_id,asc
pedsnet,v2,idx_concept_code,No,concept,concept_code,asc
pedsnet,v2,idx_concept_concept_id,Yes,concept,concept_id,asc
pedsnet,v2,idx_concept_domain_id,No,concept,domain_id,asc
pedsnet,v2,idx_concept_vocabluary_id,No,concept,vocabulary_id,asc
pedsnet,v2,idx_condition_concept_id,No,condition_occurrence,condition_concept_id,asc
pedsnet,v2,idx_condition_person_id,No,condition_occurrence,person_id,asc
pedsnet,v2,idx_condition_visit_id,No,condition_occurrence,visit_occurrence_id,asc
pedsnet,v2,idx_death_person_id,No,death,person_id,asc
pedsnet,v2,idx_drug_concept_id,No,drug_exposure,drug_concept_id,asc
pedsnet,v2,idx_drug_person_id,No,drug_exposure,person_id,asc
pedsnet,v2,idx_drug_visit_id,No,drug_exposure,visit_occurrence_id,asc
pedsnet,v2,idx_fact_relationship_id_1,No,fact_relationship,domain_concept_id_1,asc
pedsnet,v2,idx_fact_relationship_id_2,No,fact_relationship,domain_concept_id_2,asc
pedsnet,v2,idx_fact_relationship_id_3,No,fact_relationship,relationship_concept_id,asc
pedsnet,v2,idx_measurement_concept_id,No,measurement,measurement_concept_id,asc
pedsnet,v2,idx_measurement_person_id,No,measurement,person_id,asc
pedsnet,v2,idx_measurement_visit_id,No,measurement,visit_occurrence_id,asc
pedsnet,v2,idx_observation_concept_id,No,observation,observation_concept_id,asc
pedsnet,v2,idx_observation_person_id,No,observation,person_id,asc
pedsnet,v2,idx_observation_visit_id,No,observation,visit_occurrence_id,asc
pedsnet,v2,idx_observation_period_id,No,observation_period,person_id,asc
pedsnet,v2,idx_person_id,Yes,person,person_id,asc
pedsnet,v2,idx_procedure_person_id,No,procedure_occurrence,person_id,asc
pedsnet,v2,idx_procedure_concept_id,No,procedure_occurrence,procedure_concept_id,asc
pedsnet,v2,idx_procedure_visit_id,No,procedure_occurrence,visit_occurrence_id,asc
pedsnet,v2,idx_visit_person_id,No,visit_occurrence,person_id,asc
pedsnet,v2,idx_visit_concept_id,No,visit_occurrence,visit_concept_id,asc
pedsnet,v2,idx_visit_payer_id,Yes,visit_payer,visit_payer_id,asc
pedsnet,v2,idx_visit_payer_visit_occurrence_id,No,visit_payer,visit_occurrence_id,asc
pedsnet,v2,idx_vocabulary_vocabulary_id,Yes,vocabulary,vocabulary_id,asc
