model,version,table,field,ref_table,ref_field,name
pedsnet,v2,care_site,location_id,location,location_id,fpk_care_site_location
pedsnet,v2,care_site,place_of_service_concept_id,concept,concept_id,fpk_care_site_place
pedsnet,v2,concept,concept_class_id,concept_class,concept_class_id,fpk_concept_class
pedsnet,v2,concept,domain_id,domain,domain_id,fpk_concept_domain
pedsnet,v2,concept,vocabulary_id,vocabulary,vocabulary_id,fpk_concept_vocabulary
pedsnet,v2,condition_occurrence,condition_concept_id,concept,concept_id,fpk_condition_concept
pedsnet,v2,condition_occurrence,condition_source_concept_id,concept,concept_id,fpk_condition_concept_s
pedsnet,v2,condition_occurrence,condition_type_concept_id,concept,concept_id,fpk_condition_type_concept
pedsnet,v2,condition_occurrence,person_id,person,person_id,fpk_condition_person
pedsnet,v2,condition_occurrence,provider_id,provider,provider_id,fpk_condition_provider
pedsnet,v2,condition_occurrence,visit_occurrence_id,visit_occurrence,visit_occurrence_id,fpk_condition_visit
pedsnet,v2,death,cause_concept_id,concept,concept_id,fpk_death_cause_concept
pedsnet,v2,death,cause_source_concept_id,concept,concept_id,fpk_death_cause_concept_s
pedsnet,v2,death,death_type_concept_id,concept,concept_id,fpk_death_type_concept
pedsnet,v2,death,person_id,person,person_id,fpk_death_person
pedsnet,v2,drug_exposure,dose_unit_concept_id,concept,concept_id,fpk_drug_dose_unit_concept
pedsnet,v2,drug_exposure,drug_concept_id,concept,concept_id,fpk_drug_concept
pedsnet,v2,drug_exposure,drug_source_concept_id,concept,concept_id,fpk_drug_concept_s
pedsnet,v2,drug_exposure,drug_type_concept_id,concept,concept_id,fpk_drug_type_concept
pedsnet,v2,drug_exposure,person_id,person,person_id,fpk_drug_person
pedsnet,v2,drug_exposure,provider_id,provider,provider_id,fpk_drug_provider
pedsnet,v2,drug_exposure,route_concept_id,concept,concept_id,fpk_drug_route_concept
pedsnet,v2,drug_exposure,visit_occurrence_id,visit_occurrence,visit_occurrence_id,fpk_drug_visit
pedsnet,v2,fact_relationship,domain_concept_id_1,concept,concept_id,fpk_fact_domain_1
pedsnet,v2,fact_relationship,domain_concept_id_2,concept,concept_id,fpk_fact_domain_2
pedsnet,v2,fact_relationship,relationship_concept_id,concept,concept_id,fpk_fact_relationship
pedsnet,v2,measurement,measurement_concept_id,concept,concept_id,fpk_measurement_concept
pedsnet,v2,measurement,measurement_source_concept_id,concept,concept_id,fpk_measurement_concept_s
pedsnet,v2,measurement,measurement_type_concept_id,concept,concept_id,fpk_measurement_type_concept
pedsnet,v2,measurement,operator_concept_id,concept,concept_id,fpk_measurement_operator
pedsnet,v2,measurement,person_id,person,person_id,fpk_measurement_person
pedsnet,v2,measurement,provider_id,provider,provider_id,fpk_measurement_provider
pedsnet,v2,measurement,unit_concept_id,concept,concept_id,fpk_measurement_unit
pedsnet,v2,measurement,value_as_concept_id,concept,concept_id,fpk_measurement_value
pedsnet,v2,measurement,visit_occurrence_id,visit_occurrence,visit_occurrence_id,fpk_measurement_visit
pedsnet,v2,observation,observation_concept_id,concept,concept_id,fpk_observation_concept
pedsnet,v2,observation,observation_source_concept_id,concept,concept_id,fpk_observation_concept_s
pedsnet,v2,observation,observation_type_concept_id,concept,concept_id,fpk_observation_type_concept
pedsnet,v2,observation,person_id,person,person_id,fpk_observation_person
pedsnet,v2,observation,provider_id,provider,provider_id,fpk_observation_provider
pedsnet,v2,observation,qualifier_concept_id,concept,concept_id,fpk_observation_qualifier
pedsnet,v2,observation,unit_concept_id,concept,concept_id,fpk_observation_unit
pedsnet,v2,observation,value_as_concept_id,concept,concept_id,fpk_observation_value
