model,version,table,field,type,length,precision,scale,default
pedsnet,v2,measurement,measurement_concept_id,integer,,,,
pedsnet,v2,measurement,measurement_date,date,,,,
pedsnet,v2,measurement,measurement_id,integer,,,,
pedsnet,v2,measurement,measurement_source_concept_id,integer,,,,
pedsnet,v2,measurement,measurement_source_value,string,,,,
pedsnet,v2,measurement,measurement_time,datetime,,,,
pedsnet,v2,measurement,measurement_type_concept_id,integer,,,,
pedsnet,v2,measurement,operator_concept_id,integer,,,,
pedsnet,v2,measurement,person_id,integer,,,,
pedsnet,v2,measurement,provider_id,integer,,,,
pedsnet,v2,measurement,range_high,float,,,,
pedsnet,v2,measurement,range_low,float,,,,
pedsnet,v2,measurement,unit_concept_id,integer,,,,
pedsnet,v2,measurement,unit_source_value,string,,,,
pedsnet,v2,measurement,value_as_concept_id,integer,,,,
pedsnet,v2,measurement,value_as_number,float,,,,
pedsnet,v2,measurement,value_source_value,string,,,,
pedsnet,v2,measurement,visit_occurrence_id,integer,,,,
