model,version,table,field,type,length,precision,scale,default
pedsnet,v3.3,visit_occurrence,care_site_id,integer,,,,
pedsnet,v3.3,visit_occurrence,person_id,integer,,,,
pedsnet,v3.3,visit_occurrence,provider_id,integer,,,,
pedsnet,v3.3,visit_occurrence,visit_concept_id,integer,,,,
pedsnet,v3.3,visit_occurrence,visit_end_date,date,,,,
pedsnet,v3.3,visit_occurrence,visit_end_datetime,datetime,,,,
pedsnet,v3.3,visit_occurrence,visit_occurrence_id,integer,,,,
pedsnet,v3.3,visit_occurrence,visit_source_concept_id,integer,,,,
pedsnet,v3.3,visit_occurrence,visit_source_value,string,,,,
pedsnet,v3.3,visit_occurrence,visit_start_date,date,,,,
pedsnet,v3.3,visit_occurrence,visit_start_datetime,datetime,,,,
pedsnet,v3.3,visit_occurrence,visit_type_concept_id,integer,,,,
pedsnet,v3.3,visit_occurrence,preceding_visit_occurrence_id,integer,,,,
pedsnet,v3.3,visit_occurrence,admitted_from_concept_id,integer,,,,
pedsnet,v3.3,visit_occurrence,discharge_to_concept_id,integer,,,,
pedsnet,v3.3,visit_occurrence,admitted_from_source_value,string,,,,
pedsnet,v3.3,visit_occurrence,discharge_to_source_value,string,,,,

