model,version,table,field,type,length,precision,scale,default
pedsnet,v3.7,procedure_occurrence,modifier_concept_id,integer,,,,
pedsnet,v3.7,procedure_occurrence,modifier_source_value,string,,,,
pedsnet,v3.7,procedure_occurrence,person_id,integer,,,,
pedsnet,v3.7,procedure_occurrence,procedure_concept_id,integer,,,,
pedsnet,v3.7,procedure_occurrence,procedure_date,date,,,,
pedsnet,v3.7,procedure_occurrence,procedure_occurrence_id,integer,,,,
pedsnet,v3.7,procedure_occurrence,procedure_source_concept_id,integer,,,,
pedsnet,v3.7,procedure_occurrence,procedure_source_value,string,,,,
pedsnet,v3.7,procedure_occurrence,procedure_datetime,datetime,,,,
pedsnet,v3.7,procedure_occurrence,procedure_type_concept_id,integer,,,,
pedsnet,v3.7,procedure_occurrence,provider_id,integer,,,,
pedsnet,v3.7,procedure_occurrence,quantity,integer,,,,
pedsnet,v3.7,procedure_occurrence,visit_occurrence_id,integer,,,,
