model,version,table,field,type,length,precision,scale,default
pedsnet,v4.1,immunization,imm_dose_unit_concept_id,integer,,,,
pedsnet,v4.1,immunization,imm_dose_unit_source_value,string,,,,
pedsnet,v4.1,immunization,immunization_concept_id,integer,,,,
pedsnet,v4.1,immunization,immunization_id,integer,,,,
pedsnet,v4.1,immunization,immunization_date,date,,,,
pedsnet,v4.1,immunization,immunization_datetime,datetime,,,,
pedsnet,v4.1,immunization,immunization_source_concept_id,integer,,,,
pedsnet,v4.1,immunization,immunization_source_value,string,,,,
pedsnet,v4.1,immunization,immunization_dose,string,,,,
pedsnet,v4.1,immunization,person_id,integer,,,,
pedsnet,v4.1,immunization,provider_id,integer,,,,
pedsnet,v4.1,immunization,imm_route_concept_id,integer,,,,
pedsnet,v4.1,immunization,imm_route_source_value,string,,,,
pedsnet,v4.1,immunization,visit_occurrence_id,integer,,,,
pedsnet,v4.1,immunization,procedure_occurrence_id,integer,,,,
pedsnet,v4.1,immunization,imm_recorded_date,date,,,,
pedsnet,v4.1,immunization,imm_recorded_datetime,datetime,,,,
pedsnet,v4.1,immunization,imm_manufacturer,string,,,,
pedsnet,v4.1,immunization,imm_lot_num,string,,,,
pedsnet,v4.1,immunization,imm_exp_date,date,,,,
pedsnet,v4.1,immunization,imm_exp_datetime,datetime,,,,
pedsnet,v4.1,immunization,immunization_type_concept_id,integer,,,,
pedsnet,v4.1,immunization,imm_body_site_concept_id,integer,,,,
pedsnet,v4.1,immunization,imm_body_site_source_value,string,,,,
