model,version,table,field,type,length,precision,scale,default
pedsnet,v5.2,provider,care_site_id,biginteger,,,,
pedsnet,v5.2,provider,dea,string,,,,
pedsnet,v5.2,provider,gender_concept_id,integer,,,,
pedsnet,v5.2,provider,gender_source_concept_id,integer,,,,
pedsnet,v5.2,provider,gender_source_value,string,,,,
pedsnet,v5.2,provider,npi,string,,,,
pedsnet,v5.2,provider,provider_id,biginteger,,,,
pedsnet,v5.2,provider,provider_name,string,,,,
pedsnet,v5.2,provider,provider_source_value,string,,,,
pedsnet,v5.2,provider,year_of_birth,integer,,,,
pedsnet,v5.2,provider,specialty_concept_id,integer,,,,
pedsnet,v5.2,provider,specialty_source_concept_id,integer,,,,
pedsnet,v5.2,provider,specialty_source_value,string,,,,
