model,version,table,field,type,length,precision,scale,default
pedsnet,v5.3recover,adt_occurrence,adt_type_source_value,string,,,,
pedsnet,v5.3recover,adt_occurrence,service_source_value,string,,,,
pedsnet,v5.3recover,adt_occurrence,adt_date,date,,,,
pedsnet,v5.3recover,adt_occurrence,adt_datetime,datetime,,,,
pedsnet,v5.3recover,adt_occurrence,care_site_id,string,,,,
pedsnet,v5.3recover,adt_occurrence,service_concept_id,integer,,,,
pedsnet,v5.3recover,adt_occurrence,adt_type_concept_id,integer,,,,
pedsnet,v5.3recover,adt_occurrence,person_id,string,,,,
pedsnet,v5.3recover,adt_occurrence,visit_occurrence_id,string,,,,
pedsnet,v5.3recover,adt_occurrence,prior_adt_occurrence_id,string,,,,
pedsnet,v5.3recover,adt_occurrence,next_adt_occurrence_id,string,,,,
pedsnet,v5.3recover,adt_occurrence,adt_occurrence_id,string,,,,
