model,version,table,field,type,length,precision,scale,default
pedsnet,v5.3recover,concept,concept_class_id,string,50,,,
pedsnet,v5.3recover,concept,concept_code,string,256,,,
pedsnet,v5.3recover,concept,concept_id,integer,,,,
pedsnet,v5.3recover,concept,concept_name,string,512,,,
pedsnet,v5.3recover,concept,domain_id,string,20,,,
pedsnet,v5.3recover,concept,invalid_reason,string,1,,,
pedsnet,v5.3recover,concept,standard_concept,string,1,,,
pedsnet,v5.3recover,concept,valid_end_date,date,,,,
pedsnet,v5.3recover,concept,valid_start_date,date,,,,
pedsnet,v5.3recover,concept,vocabulary_id,string,20,,,
