model,version,table,field,type,length,precision,scale,default
pedsnet,v5.3recover,condition_occurrence,condition_concept_id,integer,,,,
pedsnet,v5.3recover,condition_occurrence,condition_end_date,date,,,,
pedsnet,v5.3recover,condition_occurrence,condition_end_datetime,datetime,,,,
pedsnet,v5.3recover,condition_occurrence,condition_occurrence_id,string,,,,
pedsnet,v5.3recover,condition_occurrence,condition_source_concept_id,integer,,,,
pedsnet,v5.3recover,condition_occurrence,condition_source_value,string,,,,
pedsnet,v5.3recover,condition_occurrence,condition_start_date,date,,,,
pedsnet,v5.3recover,condition_occurrence,condition_start_datetime,datetime,,,,
pedsnet,v5.3recover,condition_occurrence,condition_type_concept_id,integer,,,,
pedsnet,v5.3recover,condition_occurrence,person_id,string,,,,
pedsnet,v5.3recover,condition_occurrence,provider_id,string,,,,
pedsnet,v5.3recover,condition_occurrence,stop_reason,string,,,,
pedsnet,v5.3recover,condition_occurrence,visit_occurrence_id,string,,,,
pedsnet,v5.3recover,condition_occurrence,condition_status_concept_id,integer,,,,
pedsnet,v5.3recover,condition_occurrence,condition_status_source_value,string,,,,
pedsnet,v5.3recover,condition_occurrence,poa_concept_id,integer,,,,
