model,version,table,field,type,length,precision,scale,default
pedsnet,v5.3recover,device_exposure,device_exposure_id,string,,,,
pedsnet,v5.3recover,device_exposure,device_concept_id,integer,,,,
pedsnet,v5.3recover,device_exposure,device_exposure_start_date,date,,,,
pedsnet,v5.3recover,device_exposure,device_exposure_start_datetime,datetime,,,,
pedsnet,v5.3recover,device_exposure,device_exposure_end_date,date,,,,
pedsnet,v5.3recover,device_exposure,device_exposure_end_datetime,datetime,,,,
pedsnet,v5.3recover,device_exposure,device_type_concept_id,integer,,,,
pedsnet,v5.3recover,device_exposure,unique_device_id,string,,,,
pedsnet,v5.3recover,device_exposure,production_id,string,,,,
pedsnet,v5.3recover,device_exposure,quantity,integer,,,,
pedsnet,v5.3recover,device_exposure,person_id,string,,,,
pedsnet,v5.3recover,device_exposure,provider_id,string,,,,
pedsnet,v5.3recover,device_exposure,device_source_value,string,,,,
pedsnet,v5.3recover,device_exposure,visit_occurrence_id,string,,,,
pedsnet,v5.3recover,device_exposure,device_source_concept_id,integer,,,,
pedsnet,v5.3recover,device_exposure,placement_concept_id,integer,,,,
pedsnet,v5.3recover,device_exposure,placement_source_value,string,,,,
pedsnet,v5.3recover,device_exposure,unit_concept_id,integer,,,,
pedsnet,v5.3recover,device_exposure,unit_source_concept_id,integer,,,,
pedsnet,v5.3recover,device_exposure,unit_source_value,string,,,,
