model,version,table,field,type,length,precision,scale,default
pedsnet,v5.3recover,immunization,imm_dose_unit_concept_id,integer,,,,
pedsnet,v5.3recover,immunization,imm_dose_unit_source_value,string,,,,
pedsnet,v5.3recover,immunization,immunization_concept_id,integer,,,,
pedsnet,v5.3recover,immunization,immunization_id,string,,,,
pedsnet,v5.3recover,immunization,immunization_date,date,,,,
pedsnet,v5.3recover,immunization,immunization_datetime,datetime,,,,
pedsnet,v5.3recover,immunization,immunization_source_concept_id,integer,,,,
pedsnet,v5.3recover,immunization,immunization_source_value,string,,,,
pedsnet,v5.3recover,immunization,immunization_dose,string,,,,
pedsnet,v5.3recover,immunization,person_id,string,,,,
pedsnet,v5.3recover,immunization,provider_id,string,,,,
pedsnet,v5.3recover,immunization,imm_route_concept_id,integer,,,,
pedsnet,v5.3recover,immunization,imm_route_source_value,string,,,,
pedsnet,v5.3recover,immunization,visit_occurrence_id,string,,,,
pedsnet,v5.3recover,immunization,procedure_occurrence_id,string,,,,
pedsnet,v5.3recover,immunization,imm_recorded_date,date,,,,
pedsnet,v5.3recover,immunization,imm_recorded_datetime,datetime,,,,
pedsnet,v5.3recover,immunization,imm_manufacturer,string,,,,
pedsnet,v5.3recover,immunization,imm_lot_num,string,,,,
pedsnet,v5.3recover,immunization,imm_exp_date,date,,,,
pedsnet,v5.3recover,immunization,imm_exp_datetime,datetime,,,,
pedsnet,v5.3recover,immunization,immunization_type_concept_id,integer,,,,
pedsnet,v5.3recover,immunization,imm_body_site_concept_id,integer,,,,
pedsnet,v5.3recover,immunization,imm_body_site_source_value,string,,,,
