model,version,table,field,type,length,precision,scale,default
pedsnet,v5.3recover,location,address_1,string,,,,
pedsnet,v5.3recover,location,address_2,string,,,,
pedsnet,v5.3recover,location,city,string,,,,
pedsnet,v5.3recover,location,county,string,,,,
pedsnet,v5.3recover,location,location_id,string,,,,
pedsnet,v5.3recover,location,location_source_value,string,,,,
pedsnet,v5.3recover,location,state,string,,,,
pedsnet,v5.3recover,location,zip,string,,,,
pedsnet,v5.3recover,location,country_concept_id,integer,,,,
pedsnet,v5.3recover,location,country_source_value,string,,,,
pedsnet,v5.3recover,location,longitude,float,,,,
pedsnet,v5.3recover,location,latitude,float,,,,
