model,version,table,field,type,length,precision,scale,default
pedsnet,v5.3recover,observation,observation_concept_id,integer,,,,
pedsnet,v5.3recover,observation,observation_date,date,,,,
pedsnet,v5.3recover,observation,observation_id,string,,,,
pedsnet,v5.3recover,observation,observation_source_concept_id,integer,,,,
pedsnet,v5.3recover,observation,observation_source_value,string,,,,
pedsnet,v5.3recover,observation,observation_datetime,datetime,,,,
pedsnet,v5.3recover,observation,observation_type_concept_id,integer,,,,
pedsnet,v5.3recover,observation,person_id,string,,,,
pedsnet,v5.3recover,observation,provider_id,string,,,,
pedsnet,v5.3recover,observation,qualifier_concept_id,integer,,,,
pedsnet,v5.3recover,observation,qualifier_source_value,string,,,,
pedsnet,v5.3recover,observation,unit_concept_id,integer,,,,
pedsnet,v5.3recover,observation,unit_source_value,string,,,,
pedsnet,v5.3recover,observation,value_as_concept_id,integer,,,,
pedsnet,v5.3recover,observation,value_as_number,number,,,,
pedsnet,v5.3recover,observation,value_as_string,string,,,,
pedsnet,v5.3recover,observation,visit_occurrence_id,string,,,,
pedsnet,v5.3recover,observation,value_source_value,string,,,,
