model,version,table,field,type,length,precision,scale,default
pedsnet,v5.3recover,person,care_site_id,string,,,,
pedsnet,v5.3recover,person,day_of_birth,integer,,,,
pedsnet,v5.3recover,person,ethnicity_concept_id,integer,,,,
pedsnet,v5.3recover,person,ethnicity_source_concept_id,integer,,,,
pedsnet,v5.3recover,person,ethnicity_source_value,string,,,,
pedsnet,v5.3recover,person,gender_concept_id,integer,,,,
pedsnet,v5.3recover,person,gender_source_concept_id,integer,,,,
pedsnet,v5.3recover,person,gender_source_value,string,,,,
pedsnet,v5.3recover,person,location_id,string,,,,
pedsnet,v5.3recover,person,month_of_birth,integer,,,,
pedsnet,v5.3recover,person,person_id,string,,,,
pedsnet,v5.3recover,person,person_source_value,string,,,,
pedsnet,v5.3recover,person,pn_gestational_age,number,,,,
pedsnet,v5.3recover,person,provider_id,string,,,,
pedsnet,v5.3recover,person,race_concept_id,integer,,,,
pedsnet,v5.3recover,person,race_source_concept_id,integer,,,,
pedsnet,v5.3recover,person,race_source_value,string,,,,
pedsnet,v5.3recover,person,birth_date,date,,,,
pedsnet,v5.3recover,person,birth_datetime,datetime,,,,
pedsnet,v5.3recover,person,year_of_birth,integer,,,,
pedsnet,v5.3recover,person,language_concept_id,integer,,,,
pedsnet,v5.3recover,person,language_source_concept_id,integer,,,,
pedsnet,v5.3recover,person,language_source_value,string,,,,
