model,version,table,field,type,length,precision,scale,default
pedsnet,v5.3recover,procedure_occurrence,modifier_concept_id,integer,,,,
pedsnet,v5.3recover,procedure_occurrence,modifier_source_value,string,,,,
pedsnet,v5.3recover,procedure_occurrence,person_id,string,,,,
pedsnet,v5.3recover,procedure_occurrence,procedure_concept_id,integer,,,,
pedsnet,v5.3recover,procedure_occurrence,procedure_date,date,,,,
pedsnet,v5.3recover,procedure_occurrence,procedure_end_date,date,,,,
pedsnet,v5.3recover,procedure_occurrence,procedure_occurrence_id,string,,,,
pedsnet,v5.3recover,procedure_occurrence,procedure_source_concept_id,integer,,,,
pedsnet,v5.3recover,procedure_occurrence,procedure_source_value,string,,,,
pedsnet,v5.3recover,procedure_occurrence,procedure_datetime,datetime,,,,
pedsnet,v5.3recover,procedure_occurrence,procedure_end_datetime,datetime,,,,
pedsnet,v5.3recover,procedure_occurrence,procedure_type_concept_id,integer,,,,
pedsnet,v5.3recover,procedure_occurrence,provider_id,string,,,,
pedsnet,v5.3recover,procedure_occurrence,quantity,integer,,,,
pedsnet,v5.3recover,procedure_occurrence,visit_occurrence_id,string,,,,
