model,version,table,field,type,length,precision,scale,default
pedsnet,v5.3recover,provider,care_site_id,string,,,,
pedsnet,v5.3recover,provider,dea,string,,,,
pedsnet,v5.3recover,provider,gender_concept_id,integer,,,,
pedsnet,v5.3recover,provider,gender_source_concept_id,integer,,,,
pedsnet,v5.3recover,provider,gender_source_value,string,,,,
pedsnet,v5.3recover,provider,npi,string,,,,
pedsnet,v5.3recover,provider,provider_id,string,,,,
pedsnet,v5.3recover,provider,provider_name,string,,,,
pedsnet,v5.3recover,provider,provider_source_value,string,,,,
pedsnet,v5.3recover,provider,year_of_birth,integer,,,,
pedsnet,v5.3recover,provider,specialty_concept_id,integer,,,,
pedsnet,v5.3recover,provider,specialty_source_concept_id,integer,,,,
pedsnet,v5.3recover,provider,specialty_source_value,string,,,,
