model,version,table,field,type,length,precision,scale,default
pedsnet,v5.8,condition_occurrence,condition_concept_id,integer,,,,
pedsnet,v5.8,condition_occurrence,condition_end_date,date,,,,
pedsnet,v5.8,condition_occurrence,condition_end_datetime,datetime,,,,
pedsnet,v5.8,condition_occurrence,condition_occurrence_id,biginteger,,,,
pedsnet,v5.8,condition_occurrence,condition_source_concept_id,integer,,,,
pedsnet,v5.8,condition_occurrence,condition_source_value,string,,,,
pedsnet,v5.8,condition_occurrence,condition_start_date,date,,,,
pedsnet,v5.8,condition_occurrence,condition_start_datetime,datetime,,,,
pedsnet,v5.8,condition_occurrence,condition_type_concept_id,integer,,,,
pedsnet,v5.8,condition_occurrence,person_id,biginteger,,,,
pedsnet,v5.8,condition_occurrence,provider_id,biginteger,,,,
pedsnet,v5.8,condition_occurrence,stop_reason,string,,,,
pedsnet,v5.8,condition_occurrence,visit_occurrence_id,biginteger,,,,
pedsnet,v5.8,condition_occurrence,condition_status_concept_id,integer,,,,
pedsnet,v5.8,condition_occurrence,condition_status_source_value,string,,,,
pedsnet,v5.8,condition_occurrence,poa_concept_id,integer,,,,
