model,version,table,field,type,length,precision,scale,default
pedsnet,v5.8,hash_token,person_id,biginteger,,,,
pedsnet,v5.8,hash_token,token_01,string,,,,
pedsnet,v5.8,hash_token,token_02,string,,,,
pedsnet,v5.8,hash_token,token_03,string,,,,
pedsnet,v5.8,hash_token,token_04,string,,,,
pedsnet,v5.8,hash_token,token_05,string,,,,
pedsnet,v5.8,hash_token,token_06,string,,,,
pedsnet,v5.8,hash_token,token_07,string,,,,
pedsnet,v5.8,hash_token,token_08,string,,,,
pedsnet,v5.8,hash_token,token_09,string,,,,
pedsnet,v5.8,hash_token,token_12,string,,,,
pedsnet,v5.8,hash_token,token_14,string,,,,
pedsnet,v5.8,hash_token,token_15,string,,,,
pedsnet,v5.8,hash_token,token_16,string,,,,
pedsnet,v5.8,hash_token,token_17,string,,,,
pedsnet,v5.8,hash_token,token_18,string,,,,
pedsnet,v5.8,hash_token,token_23,string,,,,
pedsnet,v5.8,hash_token,token_24,string,,,,
pedsnet,v5.8,hash_token,token_25,string,,,,
pedsnet,v5.8,hash_token,token_26,string,,,,
pedsnet,v5.8,hash_token,token_29,string,,,,
pedsnet,v5.8,hash_token,token_30,string,,,,
pedsnet,v5.8,hash_token,token_101,string,,,,
pedsnet,v5.8,hash_token,token_102,string,,,,
pedsnet,v5.8,hash_token,token_103,string,,,,
pedsnet,v5.8,hash_token,token_104,string,,,,
pedsnet,v5.8,hash_token,token_105,string,,,,
pedsnet,v5.8,hash_token,token_106,string,,,,
pedsnet,v5.8,hash_token,token_107,string,,,,
pedsnet,v5.8,hash_token,token_108,string,,,,
pedsnet,v5.8,hash_token,token_109,string,,,,
pedsnet,v5.8,hash_token,token_110,string,,,,
pedsnet,v5.8,hash_token,token_111,string,,,,
pedsnet,v5.8,hash_token,token_encryption_key,string,,,,
